titles,genre,developers,publishers
Baseball Navigator,Angel,Angel,"July 31, 1997"
Baseball Simulation: ID Pro Yakyuu,Konami,Konami,"January 25, 2001"
Bases Loaded '96: Double Header,Jaleco Entertainment,Jaleco Entertainment,Unreleased
Bass Fisherman,Sammy Studios,Sammy Studios,"June 11, 1998"
Bass Landing,TOSE,"ASCII Entertainment, Agetec Inc.NA","January 14, 1999"
Bass Landing 2,TOSE,ASCII Entertainment,"March 20, 2000"
Bass Rise,Bandai,Bandai,"March 25, 1999"
Bass Tsuri ni Ikou! Let's Go Bassfishing!,Banpresto,Banpresto,"April 22, 1999"
Bassing Beat 2,Hearty Robin,Hearty Robin,"August 10, 2000"
Bastard!!,Opus,Seta Corporation,"December 28, 1996"
Batman & Robin,Probe Entertainment,Acclaim Entertainment,Unreleased
Batman Beyond: Return of the JokerNA•Batman of the Future: Return of the JokerPAL,Kemco,Ubisoft,"May 1, 2001"
Batman Forever: The Arcade Game,Iguana Entertainment,Acclaim,"February 14, 1997"
Batman: Gotham City Racer,Sinister Games,Ubisoft,Unreleased
Battle Arena Nitoshinden,Tamsoft,Takara,"September 20, 1996"
Battle Arena Toshinden,Tamsoft,SCEA,"January 1, 1995"
Battle Arena Toshinden 2,Tamsoft,Takara and Toshiaki Ota,"December 29, 1995"
Battle Arena Toshinden 2 Plus,Tamsoft,Takara,"August 9, 1996"
Battle Arena Toshinden 3,Tamsoft,Takara,"December 27, 1996"
Battle Athletess: Daiundoukai Alternative,AIC Spirits,Increment-P,"January 15, 1998"
Battle Athletess: Daiundoukai GTO,AIC Spirits,Increment-P,"January 14, 1999"
Battle Bugs,Epyx,Sierra Entertainment,"September 18, 1997"
Battle Formation,Banpresto,Banpresto,"November 13, 1997"
Battle Hunter,Agetec,Tommo,"December 22, 1999"
Battle Konchuuden,Jaleco,Jaleco,"January 21, 1999"
Battle Master,Taki,Taki,"January 8, 1998"
Battle Qix,Success,Success,"October 24, 2002"
BattleSport,Cyclone Studios,The 3DO Company,Unreleased
Battle Stations,Electronic Arts,Realtime Associates,Unreleased
BattleTanx: Global Assault,The 3DO Company,The 3DO Company,Unreleased
Bealphareth,Zealsoft,SCEI,"September 28, 2000"
Bear in the Big Blue House,DC Studios,Ubisoft,Unreleased
Beast Wars: Transformers,Takara,Hasbro Interactive,"March 26, 1998"
Beatmania,Konami,Konami,"October 1, 1998"
Beatmania (Europe),Konami,Konami,Unreleased
Beatmania Append 3rd Mix,Konami,Konami,"December 23, 1998"
Beatmania Append 3rd Mix Mini,Konami,Konami,"October 29, 1998"
Beatmania Append 4th Mix,Konami,Konami,"September 9, 1999"
Beatmania Append 5th Mix,Konami,Konami,"March 2, 2000"
Beatmania Append Club mix,Konami,Konami,"December 21, 2000"
Beatmania Append Gottamix,Konami,Konami,"May 27, 1999"
Beatmania Append Gottamix 2 – Going Global,Konami,Konami,"September 7, 2000"
Beatmania Append Yebisu Mix,Konami,Konami,"December 9, 1999"
Beatmania 6th Mix + Core Mix,Konami,Konami,"March 26, 2002"
Beatmania Best Hits,Konami,Konami,"July 27, 2000"
Beatmania Featuring Dreams Come True,Konami,Konami,"July 27, 2000"
Beatmania – The Sound of Tokyo,Konami,Konami,"March 29, 2001"
Beat Planet Music,Opus,SCEI,"January 20, 2000"
Beavis and Butt-Head in Virtual Stupidity,ICOM Simulations,Viacom New Media,"January 29, 1998"
Bedlam,Mirage Technologies,GT Interactive,Unreleased
Beyblade: Let it Rip!•Bakuten Shoot BeybladeJP,WAVEDGE,"Crave EntertainmentNA, AtariPAL, TakaraJP","December 13, 2001"
Beyond the Beyond,Camelot Software Planning,"SCEI, SCEA","November 3, 1995"
Big Air,The Pitbull Syndicate Limited,Accolade,Unreleased
Big Bass Fishing,Coresoft,Take 2 Interactive,Unreleased
Big Bass World Championship•Super Black Bass XJP,Starfish,Hot-B,"August 7, 1997"
Big Challenge Golf: Tokyo Yomiuri Country Club Hen,Vap,Vap,"March 14, 1997"
Big League Slugger Baseball,Agetec Inc.,Now Production,Unreleased
Big Ol' Bass 2•Fisherman's Bait 3PAL•Exciting Bass 3JP,Konami Computer Entertainment Nagoya,Konami,"January 25, 2001"
Big Strike Bowling,"CoresoftNA, Gotham GamesPAL",Take 2 Interactive,Unreleased
Billiard (Selen),ProSoft,Selen,"July 12, 2001"
Bio F.R.E.A.K.S.,Saffire,"Midway GamesNA, GT InteractivePAL",Unreleased
Bishi Bashi Special,Konami,Konami,"September 17, 1998"
Bishi Bashi Special 2,Konami,Konami,"September 2, 1999"
Bishi Bashi Special 3: Step Champ,Konami,Konami,"June 29, 2000"
Bishoujo Hanafuda Kikou: Michinoku Hitou Koimonogatari,Fog,Fog,"August 7, 1997"
Bishoujo Senshi Sailor Moon SuperS Shin Shuyaku Soudatsusen,Angel,Angel,"March 8, 1996"
Bishoujo Senshi Sailor Moon World – Chibi Usa to Tanoshii Mainichi,Bandai,Bandai,"November 29, 2001"
The Bistro,Syscom,Syscom,"February 17, 2000"
Black/Matrix 00,InterChannel,InterChannel,"May 13, 2004"
Black/Matrix Cross,Flight-Plan,InterChannel,"December 14, 2000"
Black Bass with Blue Marlin,Hot B,Starfish,Unreleased
Black Dawn,Black Ops Entertainment,Virgin Interactive Entertainment,Unreleased
Black Jack vs. Matsuda Jun,Pony Canyon,Pony Canyon,"August 10, 2000"
Blade,Hammerhead Ltd,Activision,Unreleased
Blade Arts,Enix,Enix,"September 28, 2000"
BladeMaker,Shoeisha,Shoeisha,"July 1, 1999"
Blast Chamber,Attention to Detail,Activision,Unreleased
Blast Lacrosse,Sandbox Studios,Acclaim Sports,Unreleased
Blast Radius,Pitbaull Syndicate,Psygnosis,Unreleased
Blaster Master: Blasting Again,Sunsoft,Crave Entertainment,"July 31, 2000"
Blasto,Sony Interactive Studios America,SCEE,Unreleased
Blaze and Blade Busters,GungHo,T&E Soft,"September 23, 1998"
Blaze and Blade: Eternal Quest,Technology and Entertainment Software,Funsoft,"January 28, 1998"
Blazing Dragons,The Illusions Game Company,Crystal Dynamics,Unreleased
Blend X Brand,Tonkin House,Tonkin House,"June 29, 2000"
"Block Buster•Block Kuzushi 2JP•""Simple 1500 Series Vol. 45: The Block Kuzushi 2""JP",Marvelous,Phoenix Games (video),"February 3, 2000"
Blockids,MonkeyPaw Games,Athena,Unreleased
Block & Switch,Serene,Serene,"January 24, 2002"
Block Kuzushi Kowashite Help!,Now Production,Media Group,"December 7, 2000"
Block Kuzushi: Deden no Gyakushuu,Island Creation,Island Creation,"May 31, 1996"
Block Wars,Pony Canyon,Pony Canyon,"September 6, 2001"
Blood Lines,Radical Entertainment,SCEE,Unreleased
Blood Omen: Legacy of Kain,Silicon Knights,Crystal Dynamics,"May 30, 1997"
Bloody Roar,SCEA,8ing/Raizing,"November 6, 1997"
Bloody Roar 2,"8ing,Raizing, Hudson Soft",Virgin Interactive Entertainment,"January 28, 1999"
Blue Breaker: Egao no Yakusoku,Human Entertainment,Human Entertainment,"December 25, 1997"
Blue Breaker Burst: Bishou o Anata to,Human Entertainment,Human Entertainment,"July 23, 1998"
Blue Breaker Burst: Egao no Asuni,Human Entertainment,Human Entertainment,"September 10, 1998"
