titles,released,developers,publishers
Basic Studio: Powerful Game Koubou,19-04-2001,Artdink,Artdink
Baskelian,07-08-2003,Jorudan,Jorudan
Basketball Xciting•Simple 2000 Series Vol. 30: The Street Baske – 3 on 3JP,29-05-2003,Tamsoft,"D3 PublisherJP, AgetecEU"
Bass Landing 3,27-02-2003,Sammy Studios,Sammy Studios
Bass Strike,26-09-2001,THQ,"THQEU,NA, CapcomJP"
Batman Begins,14-06-2005,Eurocom,Electronic Arts
Batman: Rise of Sin Tzu,16-10-2003,Ubisoft Montreal,Ubisoft
Batman: Vengeance,15-10-2001,Ubisoft Montreal,Ubisoft
Battle Assault 3 featuring Gundam Seed,07-12-2004,Natsume,Bandai
Battle Engine Aquila,19-01-2003,Lost Toys,Infogrames
Battle Gear 3,25-12-2003,Nex Entertainment,Taito
Battle of Sunrise,10-04-2008,Sunrise Interactive,Sunrise Interactive
The Battle of Yuu Yuu Hakusho: Shitou! Ankoku Bujutsukai! 120%,11-01-2007,Dimps Corporation,Banpresto
Battle Stadium D.O.N,20-07-2006,Eighting,Namco Bandai Games
Battlefield 2: Modern Combat,24-10-2005,DICE,EA Games
Battlestar Galactica,19-11-2003,Warthog,Universal Interactive
BCV: Battle Construction Vehicles•Kensetsu Juuki Kenka Battle: Buchigire Kongou!!JP,01-06-2000,Artdink,"ArtdinkJP, Midas Interactive EntertainmentEU"
Beach King Stunt Racer,28-08-2005,Davilex,Davilex
Beast Sapp,27-05-2004,Nippon Amuse,Nippon Amuse
Beat Down: Fists of Vengeance•Beat DownJP,23-08-2003,Cavia,Capcom
Beatmania,28-03-2006,Konami,Konami
BeatMania Da Da Da!!,29-03-2001,Konami Digital Entertainment,Konami Digital Entertainment
BeatMania Da Da Da!! The Best Da,16-05-2002,Konami Digital Entertainment,Konami Digital Entertainment
Beatmania IIDX 3rd Style,02-11-2000,Konami Computer Entertainment Japan,Konami
Beatmania IIDX 4th Style: New Songs Collection,29-03-2001,Konami Computer Entertainment Japan,Konami
Beatmania IIDX 5th Style: New Songs Collection,30-08-2001,Konami Computer Entertainment Japan,Konami
Beatmania IIDX 6th Style: New Songs Collection,18-07-2002,Konami Computer Entertainment Japan,Konami
Beatmania IIDX 7th Style,13-03-2004,Konami Computer Entertainment Studios,Konami
Beatmania IIDX 8th Style,18-11-2004,Konami Computer Entertainment Studios,Konami
Beatmania IIDX 9th Style,21-03-2005,Konami Computer Entertainment Studios,Konami
Beatmania IIDX 10th Style,17-11-2005,Konami,Konami
Beatmania IIDX 11: IIDX RED,18-05-2006,Konami Digital Entertainment,Konami Digital Entertainment
Beatmania IIDX 12: Happy Sky,14-12-2006,Konami Digital Entertainment,Konami Digital Entertainment
Beatmania IIDX 13: Distorted,30-08-2007,Konami Digital Entertainment,Konami Digital Entertainment
Beatmania IIDX 14: Gold,29-05-2008,Konami Digital Entertainment,Konami Digital Entertainment
Beatmania IIDX 15: DJ Troopers,18-12-2008,Konami Digital Entertainment,Konami Digital Entertainment
Beatmania IIDX 16: Empress + Premium Best,15-10-2009,Konami Digital Entertainment,Konami Digital Entertainment
Beck: The Game,31-03-2005,Flagship,Marvelous Entertainment
Bee Movie Game,30-10-2007,Beenox,Activision
Ben 10: Alien Force,28-10-2008,Monkey Bar Games,D3Publisher
Ben 10: Protector Of Earth,30-10-2007,High Voltage Software,D3 Publisher
Ben 10 Alien Force: Vilgax Attacks,27-10-2009,Papaya Studio,D3Publisher
Ben 10 Ultimate Alien: Cosmic Destruction,05-10-2010,Papaya Studio,D3 Publisher
Ben Hur: Blood of Braves,28-02-2003,Microids,Microids
Berserk: Millennium Falcon Hen Seima Senki no Shō,07-10-2004,Yuke's,Sammy Studios
Beta Bloc•Simple 2000 Series Vol. 106: The Block Kuzushi Quest – Dragon KingdomJP,14-09-2006,Tamsoft,"D3 PublisherJP, Essential GamesEU"
Beverly Hills Cop,06--2006,Atomic Planet Entertainment,Blast! Entertainment Ltd
Beyond Good & Evil,11-11-2003,Ubisoft Montpellier,Ubisoft
Biathlon 2008•RTL Biathlon 2008EU,07--2007,49Games,"RTLEU, Conspiracy EntertainmentNA"
The Bible Game,23-10-2005,Crave Entertainment,Crave Entertainment
Big Bass,06-11-2003,Success,Success
Big Idea's Veggie Tales: LarryBoy and the Bad Apple,08-08-2006,Papaya Studio,Crave Entertainment
Big Mutha Truckers•Bakusou Convoy Densetsu – Otoko Hanamichi America RomanJP,16-06-2003,Eutechnyx,"Empire InteractiveEU, THQNA, SpikeJP"
Big Mutha Truckers 2•Big Mutha Truckers 2: Truck Me HarderEU,24-06-2005,Eutechnyx,"XplosivEU, THQNA"
The Bigs,25-06-2007,Blue Castle Games,2K Sports
The Bigs 2,07-07-2009,Blue Castle Games,2K Sports
Biker Mice from Mars,17-11-2006,Creat Studios,The Game Factory
Bikkuri Mouse,27-07-2000,Sony Computer Entertainment,Sony Computer Entertainment
Billiards Xciting•Simple 2000 Series Vol. 14: The BilliardJP,14-11-2002,Agenda,"D3 PublisherJP, AgetecEU"
Billy the Wizard: Rocket Broomstick Racing,27-01-2006,Data Design Interactive,Metro3D
Binchou-tan: Shiawasegoyomi,26-04-2007,Marvelous Interactive,Marvelous Interactive
Bionicle,10-10-2003,Argonaut Games,Electronic ArtsLego Interactive
Bionicle Heroes,14-11-2006,Traveller's Tales,"Eidos Interactive, Electronic ArtsJP"
