titles,genre,developers,publishers
Bomberman: Act Zero,Action,Hudson Soft,"Konami, Hudson SoftJP"
Boogie Bunnies,Puzzle & Trivia,Artech Digital Entertainment,Vivendi Games
Boom Boom Rocket,Action & Adventure,Bizarre Creations,Electronic Arts
Borderlands[note 5][note 6],"Action role-playing, First-person shooter",Gearbox Software,2K Games
Borderlands 2,"Action role-playing, First-person shooter",Gearbox Software,2K Games
Borderlands: The Pre-Sequel,"Action role-playing, First-person shooter",2K Australia,2K Games
Boulder Dash-XL,Puzzle & Trivia,Catnip Games,Kalypso Media
Bound by Flame,Action role-playing,Spiders,Focus Home Interactive
Braid,Action & Adventure,"Number None, Inc.",Xbox Game Studios
Brain Challenge,Puzzle & Trivia,Gameloft,Xbox Game Studios
Brave,Action-adventure,Behaviour Interactive,Disney Interactive Studios
Brave: A Warrior's Tale,Action-adventure,Collision Studios,SouthPeak Games
Breach,Shooter,Atomic Games,Atomic Games
Brian Lara International Cricket 2007,Sports,Codemasters,Codemasters
"Bridge, TheThe Bridge",Puzzle & Trivia,Ty Taylor and Mario Castañeda,Midnight City
Brink,First-person shooter,Splash Damage,Bethesda Softworks
Brothers in Arms: Hell's Highway,First-person shooter,Gearbox Software,Ubisoft
Brothers: A Tale of Two Sons,Action & Adventure,Starbreeze Studios,505 Games
Brunswick Pro Bowling,"Sports, Bowling",FarSight Studios,"Crave Entertainment, 505 Games"
Brütal Legend,"Action-adventure, RTS",Double Fine Productions,Electronic Arts
Bubble Bobble Neo!,Action & Adventure,Dreams,Square Enix
Buku Sudoku,Puzzle & Trivia,Absolutist,Xbox Game Studios
Bullet Soul,Shoot 'em up,5pb.,5pb.
Bullet Soul: Infinite Burst,Shoot 'em up,5pb.,5pb.
Bullet Witch,Third-person shooter,Cavia,"Atari, AQ InteractiveJP"
Bulletstorm,First-person shooter,People Can Fly,Electronic Arts
Bully: Scholarship Edition,Action-adventure,Rockstar New England,Rockstar Games
BurgerTime World Tour,Platformer,Frozen Codebase,Konami
Burnout Crash!,Action & Adventure,Criterion Games,Electronic Arts
Burnout Paradise,Racing,Criterion Games,Electronic Arts
Burnout Revenge,Racing,Criterion Games,Electronic Arts
Cabela's Adventure Camp,"Hunting,Fishing",Cauldron,Activision
Cabela's African Adventures,"Hunting,Fishing",Fun Labs,Activision
Cabela's African Safari,"Hunting,Fishing",Fun Labs,Activision
Cabela's Alaskan Adventures,"Hunting,Fishing",Fun Labs,Activision
Cabela's Big Game Hunter,"Hunting,Fishing",Fun Labs,Activision
