titles,genre,developers,publishers
Eragon,"Hack and slash,Third-person Action-Adventure",Stormfront Studios,Vivendi Games
ESPN College Hoops,Sports,Visual Concepts,Sega
ESPN College Hoops 2K5,Sports,Visual Concepts,Sega
ESPN International Winter Sports 2002,Sports,Konami,Konami
ESPN Major League Baseball,Sports,Blue Shift,Sega
ESPN MLS ExtraTime 2002,Sports,KCEA,Konami
ESPN NBA 2K5,Sports,Visual Concepts,Sega
ESPN NBA 2Night 2002,Sports,Konami,Konami
ESPN NBA Basketball,Sports,Visual Concepts,Sega
ESPN NFL 2K5,Sports,Visual Concepts,Sega
ESPN NFL Football,Sports,Visual Concepts,Sega
ESPN NFL PrimeTime 2002,Sports,Farsight Technologies,Konami
ESPN NHL 2K5,Sports,Kush Games,Sega
ESPN NHL Hockey,Sports,Kush Games,Sega
ESPN Winter X-Games Snowboarding 2002,Sports,Konami,Konami
Evil Dead: A Fistful of Boomstick,Hack and slash,VIS Entertainment,THQ
Evil Dead: Regeneration,Hack and slash,Cranky Pants Games,THQ
ExaSkeleton,"Action,Mecha Combat",Kiki Co.,Kiki Co.
F1 2001,Racing,EA Sports,EA Sports
F1 2002,Racing,EA Sports,EA Sports
F1 Career Challenge,Racing,EA Sports,EA Sports
Fable,"Action,RPG",Lionhead Studios,Xbox Game Studios
Fable: The Lost Chapters,"Action,RPG",Lionhead Studios,Xbox Game Studios
The Fairly OddParents: Breakin' Da Rules,"Platformer,Action",THQ,THQ
Fallout: Brotherhood of Steel,"Action,RPG",Interplay Entertainment,Interplay Entertainment
Family Guy Video Game!,Action-Adventure,High Voltage Software,2K Games
Fantastic 4,"Action-Adventure,Beat 'em up",7 Studios,Activision
Far Cry Instincts,First-person shooter,Ubisoft Montreal,Ubisoft
Far Cry Instincts: Evolution,First-person shooter,Ubisoft Montreal,Ubisoft
Fatal Frame  Project Zero (PAL),Survival Horror,Tecmo,TecmoXbox Game Studios
Fatal Frame II: Crimson Butterfly  Project Zero II: Crimson Butterfly (PAL),Survival Horror,Tecmo,Tecmo
FIFA 06 Soccer,Sports,EA Canada,EA Sports
FIFA 07,Sports,EA Canada,EA Sports
FIFA Football 2003,Sports,EA Canada,EA Sports
FIFA Football 2004,Sports,EA Canada,EA Sports
FIFA 2005,Sports,EA Canada,EA Sports
FIFA Street,Sports,EA Canada,EA Sports BIG
FIFA Street 2,Sports,EA Canada,EA Sports BIG
FIFA World Cup: Germany 2006,Sports,EA Canada,EA Sports
Fight Club,Fighting,Genuine Games,Vivendi Universal Games
Fight Night 2004,Fighting,EA Sports,EA Sports
Fight Night Round 2,Fighting,EA Sports,EA Sports
Fight Night: Round 3,Fighting,EA Chicago,EA Sports
FILA World Tour Tennis,Sports,Hokus Pokus,THQ
Final Fight: Streetwise,"Action-Adventure,Beat 'em up",Secret Level,Capcom
Finding Nemo,Action-Adventure,Traveller's Tales,THQ
Fire Blade,Helicopter Simulation,Kuju Entertainment,Midway Games
FlatOut,Racing,Bugbear Entertainment,Empire Interactive
FlatOut 2,Racing,Bugbear Entertainment,Empire Interactive
Flight Academy,Simulation,Aquasystem,Aquasystem
Ford Bold Moves Street Racing  Ford Street Racing  (PAL),Racing,Razorworks,"Eidos Interactive, Empire Interactive"
Ford Mustang: The Legend Lives,Racing,Eutechnyx,2K Games
Ford Racing 2,Racing,Razorworks,Take-Two Interactive
Ford Racing 3,Racing,Razorworks,2K Games
Ford vs. Chevy,Racing,2K Games,Global Star Software
Forgotten Realms: Demon Stone,"Action RPG,Hack and slash","Stormfront Studios, Zono",Atari
Forza Motorsport,Racing,Xbox Game Studios,Xbox Game Studios
Freaky Flyers,Racing,Midway Games,Midway Games
Freedom Fighters,Third-person shooter,IO Interactive,EA Games
Freestyle MetalX,Sports,Midway Games,Midway Games
Freestyle Street Soccer,Sports,Silicon Dreams Studio,Acclaim Entertainment
Frogger Beyond,Platformer,Konami,Konami
Frogger: Ancient Shadow,Platformer,Hudson Soft,Konami
Full Spectrum Warrior,Real-Time Tactics,Pandemic Studios,THQ
Full Spectrum Warrior: Ten Hammers,Real-Time Tactics,Pandemic Studios,THQ
Furious Karting,Racing,Babylon Software,Infogrames
Futurama,"Platformer,Action",Unique Development Studios,SCi GamesVivendi Universal Games
Future Tactics: The Uprising,Tactical Shooter,Zed Two,JoWooD ProductionsCrave Entertainment
Fuzion Frenzy,Party game,Blitz Games,Xbox Game Studios
Galaxy Angel,"Real-time strategy, Visual novel",Broccoli,
Galleon,"Action-Adventure,Platformer",Confounding Factor,SCi
Gauntlet: Dark Legacy,Hack and slash,Midway Games,Midway Games
Gauntlet: Seven Sorrows,Hack and slash,Midway Games,Midway Games
Gene Troopers,First-person shooter,Cauldron,"Akella, Playlogic Entertainment, PlayLogic International"
Genma Onimusha,"Third-person Action-Adventure,Hack and slash",Capcom,Capcom
Ghost Master: The Gravenville Chronicles,"Puzzle,Strategy",Empire Interactive,Empire Interactive
Gladiator: Sword of Vengeance,Hack and slash,Acclaim Studios Manchester,Acclaim Entertainment
Gladius,Tactical RPG,LucasArts,LucasArts
